age,block,categorization,center,colormap,completionCode,converged,correct,correlation,currentOffsets,distance,education,engagementCorrect,expdistance,gender,generationTime,iterations,prolificId,requestedDistance,responseTime,selection,stimulus,stimulusCorrect,subjectid,trialNum,keep,ciede2000_discriminative_power,hue_discriminative_power,luminance_variation,lab_length,color_name_variation,chromatic_variation
25-34,3,616.244,0.14,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.2959320743234023,bachelor,6,0.3,male,144,4,5c50046b2b89f500015e5f6b,0.3,3329,1,32,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,3,616.244,0.165,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.3454566200152305,bachelor,6,0.35,male,52,1,5c50046b2b89f500015e5f6b,0.35,4600,4,33,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,3,616.244,0.14,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.2948644852509716,bachelor,6,0.3,male,91,3,5c50046b2b89f500015e5f6b,0.3,2378,4,34,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,3,616.244,0.03,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.098526111382413,bachelor,6,0.1,male,57,1,5c50046b2b89f500015e5f6b,0.1,2814,2,35,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,3,616.244,0.07,Hue-5 with Wave-9,,True,1,0.07,17.773862652939997,0.2082651071041328,bachelor,6,0.2,male,343,14,5c50046b2b89f500015e5f6b,0.2,5124,3,36,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,4,779.875,0.165,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.3414787473480068,bachelor,6,0.35,male,105,2,5c50046b2b89f500015e5f6b,0.35,2011,2,38,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.05,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.156405619131001,bachelor,6,0.15,male,126,5,5c50046b2b89f500015e5f6b,0.15,12215,4,39,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.14,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.2993994303551785,bachelor,6,0.3,male,91,1,5c50046b2b89f500015e5f6b,0.3,1780,4,40,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.03,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.0968659903273166,bachelor,6,0.1,male,88,1,5c50046b2b89f500015e5f6b,0.1,43290,1,41,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.03,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.098324317814518,bachelor,6,0.1,male,149,4,5c50046b2b89f500015e5f6b,0.1,6466,1,42,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.07,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.195710956539222,bachelor,6,0.2,male,138,4,5c50046b2b89f500015e5f6b,0.2,3347,2,43,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.14,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.3026791353576764,bachelor,6,0.3,male,82,1,5c50046b2b89f500015e5f6b,0.3,2413,3,44,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.1,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.2567087341283363,bachelor,6,0.25,male,166,7,5c50046b2b89f500015e5f6b,0.25,2448,1,45,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.165,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.3418744132444929,bachelor,6,0.35,male,150,4,5c50046b2b89f500015e5f6b,0.35,1845,1,46,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.07,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.1995785653886961,bachelor,6,0.2,male,158,5,5c50046b2b89f500015e5f6b,0.2,1783,3,47,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,4,779.875,0.05,Hue-7 with Wave-4,,True,1,0.07,20.428300276786985,0.145090603557375,bachelor,6,0.15,male,51,1,5c50046b2b89f500015e5f6b,0.15,14232,2,48,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
25-34,5,256.788,0.14,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.2913018646891721,bachelor,6,0.3,male,187,6,5c50046b2b89f500015e5f6b,0.3,2789,2,50,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.05,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.144645545450414,bachelor,6,0.15,male,82,1,5c50046b2b89f500015e5f6b,0.15,3766,2,51,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.03,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.0948571565790432,bachelor,6,0.1,male,58,1,5c50046b2b89f500015e5f6b,0.1,34041,3,52,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.1,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.2406095405103333,bachelor,6,0.25,male,152,4,5c50046b2b89f500015e5f6b,0.25,4200,3,53,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.14,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.2988519538597867,bachelor,6,0.3,male,61,1,5c50046b2b89f500015e5f6b,0.3,2502,3,54,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.07,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.1954637932671827,bachelor,6,0.2,male,377,16,5c50046b2b89f500015e5f6b,0.2,5968,1,55,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.07,Hue-3 with Wave-9,,True,0,0.07,21.028784432401903,0.2059439555651198,bachelor,6,0.2,male,76,2,5c50046b2b89f500015e5f6b,0.2,11640,1,56,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.165,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.3435481767197682,bachelor,6,0.35,male,236,9,5c50046b2b89f500015e5f6b,0.35,4956,1,57,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.03,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.0948562094846221,bachelor,6,0.1,male,161,4,5c50046b2b89f500015e5f6b,0.1,41582,4,58,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.05,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.1417597338530243,bachelor,6,0.15,male,245,11,5c50046b2b89f500015e5f6b,0.15,2730,1,59,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.165,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.3464231089825883,bachelor,6,0.35,male,106,2,5c50046b2b89f500015e5f6b,0.35,2411,2,60,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.05,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.1547526917222397,bachelor,6,0.15,male,57,1,5c50046b2b89f500015e5f6b,0.15,3364,1,62,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.07,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.2071497807680295,bachelor,6,0.2,male,147,4,5c50046b2b89f500015e5f6b,0.2,4699,2,63,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.07,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.2080032887340186,bachelor,6,0.2,male,96,2,5c50046b2b89f500015e5f6b,0.2,3939,1,64,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.1,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.2420217017989054,bachelor,6,0.25,male,652,30,5c50046b2b89f500015e5f6b,0.25,3063,1,65,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.03,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.1015373751748637,bachelor,6,0.1,male,126,5,5c50046b2b89f500015e5f6b,0.1,20312,1,66,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.05,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.159561218543799,bachelor,6,0.15,male,167,5,5c50046b2b89f500015e5f6b,0.15,8701,1,67,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.165,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.3409122894212927,bachelor,6,0.35,male,216,8,5c50046b2b89f500015e5f6b,0.35,4781,3,68,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.03,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.1066793574432866,bachelor,6,0.1,male,158,5,5c50046b2b89f500015e5f6b,0.1,7292,3,69,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.14,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.2935528296189381,bachelor,6,0.3,male,110,2,5c50046b2b89f500015e5f6b,0.3,3932,1,70,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.14,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.2988701967876868,bachelor,6,0.3,male,301,13,5c50046b2b89f500015e5f6b,0.3,4150,3,71,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,6,256.788,0.165,Hue-3 with Wave-9,,True,1,0.07,21.028784432401903,0.3422560637881773,bachelor,6,0.35,male,249,13,5c50046b2b89f500015e5f6b,0.35,3360,1,72,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.1,Hue-3 with Wave-9,,True,1,0.07,21.02878443,0.3964767529562985,bachelor,6,0.25,male,106,2,5c50046b2b89f500015e5f6b,0.25,3566,1,49,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,5,256.788,0.1,Hue-3 with Wave-9,,True,1,0.07,21.02878443,0.3964767529562985,bachelor,6,0.25,male,106,2,5c50046b2b89f500015e5f6b,0.25,3566,1,49,67,1,,true,146.917,139.296,504.139,292.438,2.393,365.695
25-34,2,397.551,0.165,Hue-5 with Wave-6,,True,1,0.07,17.77386265,0.393246191498975,bachelor,6,0.35,male,217,8,5c50046b2b89f500015e5f6b,0.35,5671,3,13,67,1,,true,170.079,224.730,434.842,362.857,3.452,226.395
25-34,3,616.244,0.05,Hue-5 with Wave-9,,True,1,0.07,17.77386265,0.3936982844909696,bachelor,6,0.15,male,179,6,5c50046b2b89f500015e5f6b,0.15,5868,2,25,67,1,,true,188.552,205.681,660.837,369.667,3.672,374.303
25-34,4,779.875,0.1,Hue-7 with Wave-4,,True,1,0.07,20.42830028,0.3978493607491608,bachelor,6,0.25,male,133,5,5c50046b2b89f500015e5f6b,0.25,3983,1,37,67,1,,true,166.745,284.926,271.276,381.867,5.642,144.695
55-64,1,112.016,0.03,Hue-3 with Wave-0,,True,0,0.07,20.3169660107926,0.1094488048958771,bachelor,6,0.1,female,198,3,5c794023c44ec600161822b0,0.1,56420,2,1,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.07,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.1952999202885514,bachelor,6,0.2,female,115,2,5c794023c44ec600161822b0,0.2,24108,4,2,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.165,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.3596247888003707,bachelor,6,0.35,female,225,4,5c794023c44ec600161822b0,0.35,6810,2,3,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.1,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.2437746315156256,bachelor,6,0.25,female,84,1,5c794023c44ec600161822b0,0.25,25819,3,4,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.03,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.1005287624882276,bachelor,6,0.1,female,79,1,5c794023c44ec600161822b0,0.1,19811,1,5,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.05,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.1414458384608065,bachelor,6,0.15,female,95,1,5c794023c44ec600161822b0,0.15,8329,3,6,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.07,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.1936805378937052,bachelor,6,0.2,female,304,7,5c794023c44ec600161822b0,0.2,36553,1,7,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.1,Hue-3 with Wave-0,,True,0,0.07,20.3169660107926,0.2576405493218061,bachelor,6,0.25,female,192,5,5c794023c44ec600161822b0,0.25,7642,1,8,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.14,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.2945441145806791,bachelor,6,0.3,female,136,2,5c794023c44ec600161822b0,0.3,33033,3,9,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.14,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.2938241057215436,bachelor,6,0.3,female,330,9,5c794023c44ec600161822b0,0.3,15470,2,10,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.05,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.1585827803876411,bachelor,6,0.15,female,202,7,5c794023c44ec600161822b0,0.15,17157,3,11,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,1,112.016,0.165,Hue-3 with Wave-0,,True,1,0.07,20.3169660107926,0.3491423343098189,bachelor,6,0.35,female,331,12,5c794023c44ec600161822b0,0.35,15108,3,12,65,2,,false,54.339,100.160,17.211,112.167,1.428,55.864
55-64,2,438.930,0.1,Hue-3 with Wave-6,,True,1,0.07,20.3169660107926,0.2533895142154136,bachelor,6,0.25,female,91,2,5c794023c44ec600161822b0,0.25,14145,1,14,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.165,Hue-3 with Wave-6,,True,1,0.07,20.3169660107926,0.3530090337606579,bachelor,6,0.35,female,102,1,5c794023c44ec600161822b0,0.35,5051,2,15,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.03,Hue-3 with Wave-6,,True,0,0.07,20.3169660107926,0.0954812919208079,bachelor,6,0.1,female,151,3,5c794023c44ec600161822b0,0.1,23191,4,16,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.1,Hue-3 with Wave-6,,True,1,0.07,20.3169660107926,0.2482812201091891,bachelor,6,0.25,female,134,3,5c794023c44ec600161822b0,0.25,7508,1,17,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.07,Hue-3 with Wave-6,,True,1,0.07,20.3169660107926,0.1936834647445326,bachelor,6,0.2,female,90,1,5c794023c44ec600161822b0,0.2,8443,2,18,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.05,Hue-3 with Wave-6,,True,1,0.07,20.3169660107926,0.1404551592147222,bachelor,6,0.15,female,283,9,5c794023c44ec600161822b0,0.15,20867,4,19,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.165,Hue-3 with Wave-6,,True,1,0.07,20.3169660107926,0.3452119961741888,bachelor,6,0.35,female,1036,37,5c794023c44ec600161822b0,0.35,7056,3,20,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.14,Hue-3 with Wave-6,,True,1,0.07,20.3169660107926,0.3079132359743263,bachelor,6,0.3,female,1105,39,5c794023c44ec600161822b0,0.3,4630,1,21,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.03,Hue-3 with Wave-6,,True,1,0.07,20.3169660107926,0.0970041063024847,bachelor,6,0.1,female,213,6,5c794023c44ec600161822b0,0.1,20239,3,22,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.14,Hue-3 with Wave-6,,True,1,0.07,20.3169660107926,0.3025057247899176,bachelor,6,0.3,female,175,5,5c794023c44ec600161822b0,0.3,9020,2,23,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,2,438.930,0.05,Hue-3 with Wave-6,,True,0,0.07,20.3169660107926,0.1444380656286587,bachelor,6,0.15,female,201,5,5c794023c44ec600161822b0,0.15,28380,4,24,65,2,,false,157.940,126.585,444.738,355.138,3.696,293.114
55-64,3,935.586,0.14,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.3069576367298509,bachelor,6,0.3,female,404,10,5c794023c44ec600161822b0,0.3,4387,3,26,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.07,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.205579525397786,bachelor,6,0.2,female,647,18,5c794023c44ec600161822b0,0.2,6827,3,27,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.05,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.1402851690173809,bachelor,6,0.15,female,262,5,5c794023c44ec600161822b0,0.15,7982,3,28,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.14,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.2957549137198834,bachelor,6,0.3,female,187,4,5c794023c44ec600161822b0,0.3,4844,3,29,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.165,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.3423973267327256,bachelor,6,0.35,female,321,8,5c794023c44ec600161822b0,0.35,3644,2,30,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.1,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.2542788768615057,bachelor,6,0.25,female,444,14,5c794023c44ec600161822b0,0.25,2929,2,31,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.05,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.155548183831724,bachelor,6,0.15,female,332,8,5c794023c44ec600161822b0,0.15,8867,2,32,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.03,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.1075011614791138,bachelor,6,0.1,female,173,4,5c794023c44ec600161822b0,0.1,28132,1,33,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.1,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.2467302382417378,bachelor,6,0.25,female,345,9,5c794023c44ec600161822b0,0.25,4521,1,34,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.165,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.3542821318661912,bachelor,6,0.35,female,202,4,5c794023c44ec600161822b0,0.35,3826,3,35,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
55-64,3,935.586,0.07,Hue-7 with Wave-0,,True,1,0.07,35.777629911166144,0.2065746029313991,bachelor,6,0.2,female,109,2,5c794023c44ec600161822b0,0.2,4001,1,36,65,2,,true,139.414,279.782,38.406,350.675,4.366,156.756
